"","RoadDistDecay","Mod400m","Nat100m","Mow100m","Build200m","Com200m","Res100m"
"RoadDistDecay",1,-0.124615895792538,-0.182729613252177,-0.128312389224989,0.501550405756439,0.144294461836548,0.582313274208
"Mod400m",-0.124615895792538,1,0.0176781128439903,-0.343764893033824,-0.139006992337362,-0.109827209857933,-0.0572219734008656
"Nat100m",-0.182729613252177,0.0176781128439903,1,-0.276117929701426,-0.389428695602007,-0.307576372106661,-0.232927372921815
"Mow100m",-0.128312389224989,-0.343764893033824,-0.276117929701426,1,0.00168599009477544,0.0206856405738008,-0.150600857066034
"Build200m",0.501550405756439,-0.139006992337362,-0.389428695602007,0.00168599009477544,1,0.155219111930839,0.610787019465157
"Com200m",0.144294461836548,-0.109827209857933,-0.307576372106661,0.0206856405738008,0.155219111930839,1,-0.165088097458675
"Res100m",0.582313274208,-0.0572219734008656,-0.232927372921815,-0.150600857066034,0.610787019465157,-0.165088097458675,1
