"","Mod1600m","Mow800m","Nat1600m","Com100m","Res800m"
"Mod1600m",1,-0.420486378293954,0.0624833134960502,-0.151745194670169,0.0242679128173131
"Mow800m",-0.420486378293954,1,-0.0303760680880141,-0.0176739440745545,-0.0202372025720484
"Nat1600m",0.0624833134960502,-0.0303760680880141,1,-0.190072204792336,-0.317784721939375
"Com100m",-0.151745194670169,-0.0176739440745545,-0.190072204792336,1,-0.130276397715789
"Res800m",0.0242679128173131,-0.0202372025720484,-0.317784721939375,-0.130276397715789,1
